hidden0,hidden1
6.708021921929971931e-01,-3.577653511806698550e+00
5.552923263768102524e-01,-3.372549176354201705e+00
5.785072565115610965e-01,-3.375838399872228557e+00
6.172348427668601367e-01,-3.503706656281027065e+00
5.315127142562858786e-01,-3.338499353441890083e+00
5.537480942974146725e-01,-3.397951519948773758e+00
6.181728413592314508e-01,-3.461766892135371698e+00
4.365303277728714848e-01,-3.157622253057380757e+00
5.931923017405776877e-01,-3.389294626196790894e+00
5.028706962665220326e-01,-3.285882979357508393e+00
0.000000000000000000e+00,7.201859105880700440e+00
